Product_issue_count,TRANS.STATE,TRANS.Product
2,AK,Prepaid card
2,ID,Prepaid card
2,MT,Prepaid card
2,RI,Prepaid card
2,WV,Prepaid card
1,ND,Prepaid card
1,SD,Prepaid card
1294,CA,Student loan
1132,NY,Student loan
815,PA,Student loan
767,FL,Student loan
616,TX,Student loan
600,OH,Student loan
569,IL,Student loan
537,NJ,Student loan
441,MA,Student loan
440,MI,Student loan
436,GA,Student loan
403,MD,Student loan
402,VA,Student loan
278,NC,Student loan
257,IN,Student loan
254,WA,Student loan
229,MO,Student loan
216,AZ,Student loan
213,CO,Student loan
210,MN,Student loan
194,CT,Student loan
190,TN,Student loan
177,WI,Student loan
161,OR,Student loan
145,SC,Student loan
136,DC,Student loan
125,AL,Student loan
117,LA,Student loan
111,KY,Student loan
102,NH,Student loan
100,NV,Student loan
90,IA,Student loan
83,OK,Student loan
72,WV,Student loan
71,ME,Student loan
66,AR,Student loan
64,KS,Student loan
63,NE,Student loan
54,MS,Student loan
53,UT,Student loan
52,NM,Student loan
51,DE,Student loan
46,RI,Student loan
43,VT,Student loan
42,ID,Student loan
35,MT,Student loan
28,HI,Student loan
24,SD,Student loan
20,WY,Student loan
13,AK,Student loan
13,ND,Student loan
1,AA,Student loan
1,PR,Student loan
1,VI,Student loan
